"Population by Five Years Age Group","Number"
"0-4",""
"Female","4016"
"Male","4192"
"10-14",""
"Female","4604"
"Male","4831"
"15-19",""
"Female","3459"
"Male","3673"
"20-24",""
"Female","2958"
"Male","2578"
"25-29",""
"Female","2797"
"Male","2528"
"30-34",""
"Female","2451"
"Male","2214"
"35-39",""
"Female","2120"
"Male","2261"
"40-44",""
"Female","1684"
"Male","1910"
"45-49",""
"Female","1292"
"Male","1472"
"50-54",""
"Female","1102"
"Male","1188"
"55-59",""
"Female","947"
"Male","1027"
"5-9",""
"Female","4722"
"Male","4765"
"60-64",""
"Female","951"
"Male","966"
"65-69",""
"Female","663"
"Male","729"
"70-74",""
"Female","419"
"Male","471"
"75+",""
"Female","431"
"Male","401"
