"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1041"
"Male","863"
"Chhetri",""
"Female","3992"
"Male","3214"
"Damai/Dholi",""
"Female","186"
"Male","169"
"Gharti/Bhujel",""
"Female","198"
"Male","166"
"Kami",""
"Female","527"
"Male","442"
"Magar",""
"Female","146"
"Male","138"
"Majhi",""
"Female","280"
"Male","258"
"Newar",""
"Female","253"
"Male","220"
"Others",""
"Female","29"
"Male","21"
"Pahari",""
"Female","628"
"Male","631"
"Sanyasi/Dasnami",""
"Female","64"
"Male","44"
"Sarki",""
"Female","354"
"Male","315"
"Tamang",""
"Female","1532"
"Male","1310"
"Terai Others",""
"Female","17"
"Male","8"
"Thakuri",""
"Female","40"
"Male","25"
"Thami",""
"Female","76"
"Male","59"
