"Population by Single Year of Age","Number"
"0",""
"Female","75"
"Male","85"
"1",""
"Female","64"
"Male","79"
"10",""
"Female","70"
"Male","91"
"11",""
"Female","53"
"Male","69"
"12",""
"Female","90"
"Male","87"
"13",""
"Female","51"
"Male","63"
"14",""
"Female","75"
"Male","66"
"15",""
"Female","52"
"Male","52"
"16",""
"Female","48"
"Male","63"
"17",""
"Female","35"
"Male","47"
"18",""
"Female","77"
"Male","56"
"19",""
"Female","40"
"Male","35"
"2",""
"Female","86"
"Male","91"
"20",""
"Female","54"
"Male","36"
"21",""
"Female","34"
"Male","39"
"22",""
"Female","50"
"Male","41"
"23",""
"Female","46"
"Male","41"
"24",""
"Female","33"
"Male","40"
"25",""
"Female","51"
"Male","48"
"26",""
"Female","32"
"Male","34"
"27",""
"Female","27"
"Male","38"
"28",""
"Female","49"
"Male","29"
"29",""
"Female","22"
"Male","23"
"3",""
"Female","104"
"Male","109"
"30",""
"Female","55"
"Male","53"
"31",""
"Female","13"
"Male","21"
"32",""
"Female","41"
"Male","31"
"33",""
"Female","28"
"Male","35"
"34",""
"Female","22"
"Male","17"
"35",""
"Female","63"
"Male","50"
"36",""
"Female","32"
"Male","34"
"37",""
"Female","11"
"Male","14"
"38",""
"Female","28"
"Male","27"
"39",""
"Female","17"
"Male","20"
"4",""
"Female","135"
"Male","99"
"40",""
"Female","55"
"Male","58"
"41",""
"Female","16"
"Male","30"
"42",""
"Female","23"
"Male","24"
"43",""
"Female","16"
"Male","18"
"44",""
"Female","13"
"Male","20"
"45",""
"Female","53"
"Male","46"
"46",""
"Female","20"
"Male","33"
"47",""
"Female","17"
"Male","19"
"48",""
"Female","24"
"Male","35"
"49",""
"Female","16"
"Male","14"
"5",""
"Female","81"
"Male","87"
"50",""
"Female","41"
"Male","42"
"51",""
"Female","3"
"Male","14"
"52",""
"Female","18"
"Male","18"
"53",""
"Female","6"
"Male","15"
"54",""
"Female","7"
"Male","10"
"55",""
"Female","30"
"Male","27"
"56",""
"Female","18"
"Male","11"
"57",""
"Female","5"
"Male","9"
"58",""
"Female","9"
"Male","17"
"59",""
"Female","4"
"Male","9"
"6",""
"Female","95"
"Male","84"
"60",""
"Female","33"
"Male","39"
"61",""
"Female","13"
"Male","13"
"62",""
"Female","9"
"Male","23"
"63",""
"Female","5"
"Male","15"
"64",""
"Female","11"
"Male","6"
"65",""
"Female","24"
"Male","18"
"66",""
"Female","7"
"Male","6"
"67",""
"Female","5"
"Male","6"
"68",""
"Female","8"
"Male","5"
"69",""
"Female","1"
"Male","3"
"7",""
"Female","80"
"Male","92"
"70",""
"Female","18"
"Male","8"
"71",""
"Female","4"
"Male","3"
"72",""
"Female","5"
"Male","4"
"73",""
"Female","0"
"Male","3"
"74",""
"Female","3"
"Male","4"
"75",""
"Female","2"
"Male","2"
"76",""
"Female","0"
"Male","1"
"77",""
"Female","2"
"Male","2"
"78",""
"Female","1"
"Male","3"
"79",""
"Female","0"
"Male","1"
"8",""
"Female","78"
"Male","71"
"80",""
"Female","3"
"Male","3"
"81",""
"Female","2"
"Male","1"
"82",""
"Female","2"
"Male","3"
"83",""
"Female","1"
"Male","1"
"84",""
"Female","0"
"Male","2"
"85",""
"Female","5"
"Male","4"
"9",""
"Female","74"
"Male","67"
