"Population by Five Years Age Group","Number"
"0-4",""
"Female","1896"
"Male","1938"
"10-14",""
"Female","2215"
"Male","2105"
"15-19",""
"Female","1745"
"Male","1291"
"20-24",""
"Female","1583"
"Male","900"
"25-29",""
"Female","1185"
"Male","786"
"30-34",""
"Female","907"
"Male","561"
"35-39",""
"Female","890"
"Male","576"
"40-44",""
"Female","717"
"Male","533"
"45-49",""
"Female","568"
"Male","488"
"50-54",""
"Female","477"
"Male","453"
"55-59",""
"Female","418"
"Male","398"
"5-9",""
"Female","2163"
"Male","2037"
"60-64",""
"Female","375"
"Male","361"
"65-69",""
"Female","231"
"Male","200"
"70-74",""
"Female","142"
"Male","145"
"75+",""
"Female","112"
"Male","121"
