"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","342"
"Christianity","246"
"Hindu","24396"
"Islam","197"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","21"
"Total","25203"
