"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","6"
"Male","7"
"Brahman - Hill",""
"Female","1668"
"Male","1363"
"Chhetri",""
"Female","3606"
"Male","2712"
"Damai/Dholi",""
"Female","467"
"Male","394"
"Gurung",""
"Female","19"
"Male","11"
"Kami",""
"Female","1623"
"Male","1216"
"Lohar",""
"Female","56"
"Male","46"
"Magar",""
"Female","31"
"Male","27"
"Newar",""
"Female","35"
"Male","27"
"Others",""
"Female","17"
"Male","13"
"Rai",""
"Female","7"
"Male","9"
"Sanyasi/Dasnami",""
"Female","43"
"Male","45"
"Sarki",""
"Female","261"
"Male","222"
"Sherpa",""
"Female","12"
"Male","5"
"Thakuri",""
"Female","697"
"Male","448"
