"Industries Types","Number"
"Accommodation and food","2609"
"Administrative and support service activity","91"
"Agriculture, forestry and fishing","465"
"Art, entertainment and recreation","41"
"Construction","88"
"Education","663"
"Electricty gas and water","33"
"Financial intermediation and insurance","319"
"Health and social work","271"
"Information and communications","50"
"Manufacturing","2116"
"Mining and quarrying","37"
"Other service activities","974"
"Professional,scientific and techniqual activity","146"
"Real state, renting and business activities","4"
"Transport and storage","79"
"Water supply, wet management","63"
"Wholesale and retail trade","7992"
"Total","16041"
