"Industries Employment","Number"
"Accommodation,  food",""
"Female","2902"
"Male","2585"
"Administrative, support service",""
"Female","30"
"Male","307"
"Agriculture, forestry and  fishing",""
"Female","411"
"Male","791"
"Arts, entertainment, recreation",""
"Female","46"
"Male","87"
"Construction",""
"Female","40"
"Male","456"
"Education",""
"Female","3406"
"Male","3632"
"Electricity, gas and water",""
"Female","89"
"Male","581"
"Financial intermediation and insurance",""
"Female","824"
"Male","817"
"Health, social work",""
"Female","763"
"Male","778"
"Information and communication",""
"Female","135"
"Male","339"
"Manufacturing",""
"Female","2387"
"Male","7231"
"Other service activities",""
"Female","789"
"Male","1462"
"Professional, scientific, techniqual activity",""
"Female","53"
"Male","236"
"Real estate, renting and business activity",""
"Female","8"
"Male","12"
"Transportation,  storage",""
"Female","40"
"Male","251"
"Water supply, wet management",""
"Female","23"
"Male","147"
"Wholesale, retail trade",""
"Female","5605"
"Male","8736"
