"Population by Five Years Age Group","Number"
"0-4",""
"Female","1122"
"Male","1175"
"10-14",""
"Female","1556"
"Male","1552"
"15-19",""
"Female","1522"
"Male","1307"
"20-24",""
"Female","1212"
"Male","753"
"25-29",""
"Female","883"
"Male","621"
"30-34",""
"Female","675"
"Male","477"
"35-39",""
"Female","665"
"Male","478"
"40-44",""
"Female","681"
"Male","545"
"45-49",""
"Female","594"
"Male","534"
"50-54",""
"Female","521"
"Male","560"
"55-59",""
"Female","390"
"Male","399"
"5-9",""
"Female","1403"
"Male","1325"
"60-64",""
"Female","285"
"Male","271"
"65-69",""
"Female","253"
"Male","234"
"70-74",""
"Female","190"
"Male","192"
"75+",""
"Female","315"
"Male","264"
