"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2527"
"Male","2228"
"Chhetri",""
"Female","1521"
"Male","1323"
"Damai/Dholi",""
"Female","303"
"Male","263"
"Gharti/Bhujel",""
"Female","6"
"Male","10"
"Gurung",""
"Female","26"
"Male","27"
"Kami",""
"Female","659"
"Male","514"
"Limbu",""
"Female","4244"
"Male","3707"
"Magar",""
"Female","78"
"Male","71"
"Majhi",""
"Female","189"
"Male","166"
"Newar",""
"Female","323"
"Male","254"
"Others",""
"Female","27"
"Male","21"
"Rai",""
"Female","437"
"Male","399"
"Sanyasi/Dasnami",""
"Female","339"
"Male","265"
"Sarki",""
"Female","154"
"Male","157"
"Sherpa",""
"Female","93"
"Male","92"
"Sunuwar",""
"Female","12"
"Male","17"
"Tamang",""
"Female","1311"
"Male","1115"
"Tharu",""
"Female","11"
"Male","9"
"Undefined Others",""
"Female","7"
"Male","8"
