"Industries Types","Number"
"Accommodation and food","649"
"Administrative and support service activity","8"
"Agriculture, forestry and fishing","311"
"Art, entertainment and recreation","8"
"Construction","7"
"Education","348"
"Electricty gas and water","7"
"Financial intermediation and insurance","80"
"Health and social work","144"
"Information and communications","10"
"Manufacturing","546"
"Mining and quarrying","3"
"Other service activities","220"
"Professional,scientific and techniqual activity","35"
"Real state, renting and business activities","0"
"Transport and storage","36"
"Water supply, wet management","16"
"Wholesale and retail trade","2292"
"Total","4720"
