"Population by Caste Ethinicity","Number"
"Badi",""
"Female","42"
"Male","36"
"","78"
"Brahman - Hill",""
"Female","2270"
"Male","1885"
"","4155"
"Chhetri",""
"Female","4496"
"Male","3847"
"","8343"
"Dalit Others",""
"Female","1358"
"Male","1184"
"","2542"
"Damai/Dholi",""
"Female","218"
"Male","174"
"","392"
"Gurung",""
"Female","6"
"Male","5"
"","11"
"Kami",""
"Female","427"
"Male","356"
"","783"
"Newar",""
"Female","13"
"Male","10"
"","23"
"Others",""
"Female","7"
"Male","8"
"","15"
"Sanyasi/Dasnami",""
"Female","133"
"Male","115"
"","248"
"Sarki",""
"Female","340"
"Male","299"
"","639"
"Thakuri",""
"Female","381"
"Male","342"
"","723"
