"Number of households by type of outer wall","Number"
"BambooWall","2955"
"Cement Bonded Bricks/Stone Wall","517"
"Mud Bonded Bricks/Stone Wall","48"
"Not stated","30"
"Others","31"
"Unbaked Bricks","4"
"Wood/Planks","114"
"Total","3699"
