"Population by Five Years Age Group","Number"
"0-4",""
"Female","1419"
"Male","1557"
"10-14",""
"Female","1474"
"Male","1608"
"15-19",""
"Female","932"
"Male","1146"
"20-24",""
"Female","829"
"Male","802"
"25-29",""
"Female","972"
"Male","871"
"30-34",""
"Female","850"
"Male","804"
"35-39",""
"Female","696"
"Male","756"
"40-44",""
"Female","564"
"Male","618"
"45-49",""
"Female","500"
"Male","510"
"50-54",""
"Female","353"
"Male","453"
"55-59",""
"Female","311"
"Male","376"
"5-9",""
"Female","1691"
"Male","1813"
"60-64",""
"Female","280"
"Male","319"
"65-69",""
"Female","244"
"Male","239"
"70-74",""
"Female","139"
"Male","179"
"75+",""
"Female","121"
"Male","142"
