"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2467"
"Male","1967"
"","4434"
"Chhantyal/Chhantel",""
"Female","24"
"Male","15"
"","39"
"Chhetri",""
"Female","597"
"Male","443"
"","1040"
"Damai/Dholi",""
"Female","554"
"Male","435"
"","989"
"Gharti/Bhujel",""
"Female","30"
"Male","34"
"","64"
"Gurung",""
"Female","221"
"Male","161"
"","382"
"Kami",""
"Female","966"
"Male","717"
"","1683"
"Magar",""
"Female","4605"
"Male","3579"
"","8184"
"Musalman",""
"Female","9"
"Male","10"
"","19"
"Newar",""
"Female","141"
"Male","124"
"","265"
"Others",""
"Female","24"
"Male","27"
"","51"
"Sanyasi/Dasnami",""
"Female","374"
"Male","312"
"","686"
"Sarki",""
"Female","431"
"Male","333"
"","764"
"Thakali",""
"Female","12"
"Male","7"
"","19"
"Thakuri",""
"Female","146"
"Male","111"
"","257"
