"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1437"
"Christianity","34"
"Hindu","17379"
"Islam","19"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","16"
"Total","18885"
