"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","113"
"Male","110"
"Chhetri",""
"Female","556"
"Male","506"
"Damai/Dholi",""
"Female","31"
"Male","23"
"Gurung",""
"Female","13"
"Male","17"
"Hajam/Thakur",""
"Female","69"
"Male","57"
"Kami",""
"Female","72"
"Male","49"
"Magar",""
"Female","498"
"Male","410"
"Newar",""
"Female","635"
"Male","543"
"Others",""
"Female","20"
"Male","32"
"Sanyasi/Dasnami",""
"Female","16"
"Male","15"
"Tamang",""
"Female","5248"
"Male","4709"
"Thakuri",""
"Female","24"
"Male","26"
"Tharu",""
"Female","5"
"Male","12"
