"Industries Types","Number"
"Accommodation and food","382"
"Administrative and support service activity","2"
"Agriculture, forestry and fishing","363"
"Art, entertainment and recreation","8"
"Construction","11"
"Education","342"
"Electricty gas and water","10"
"Financial intermediation and insurance","75"
"Health and social work","106"
"Information and communications","15"
"Manufacturing","710"
"Mining and quarrying","1"
"Other service activities","157"
"Professional,scientific and techniqual activity","27"
"Real state, renting and business activities","0"
"Transport and storage","20"
"Water supply, wet management","21"
"Wholesale and retail trade","1804"
"Total","4054"
