"Industries Employment","Number"
"Accommodation,  food",""
"Female","246"
"Male","731"
"Administrative, support service",""
"Female","0"
"Male","2"
"Agriculture, forestry and  fishing",""
"Female","461"
"Male","669"
"Arts, entertainment, recreation",""
"Female","1"
"Male","11"
"Construction",""
"Female","1"
"Male","29"
"Education",""
"Female","877"
"Male","1902"
"Electricity, gas and water",""
"Female","7"
"Male","99"
"Financial intermediation and insurance",""
"Female","92"
"Male","255"
"Health, social work",""
"Female","416"
"Male","294"
"Information and communication",""
"Female","21"
"Male","93"
"Manufacturing",""
"Female","331"
"Male","1008"
"Other service activities",""
"Female","173"
"Male","371"
"Professional, scientific, techniqual activity",""
"Female","4"
"Male","36"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","14"
"Male","51"
"Water supply, wet management",""
"Female","12"
"Male","64"
"Wholesale, retail trade",""
"Female","875"
"Male","2317"
