"Population by Single Year of Age","Number"
"0",""
"Female","324"
"Male","331"
"1",""
"Female","265"
"Male","304"
"10",""
"Female","594"
"Male","620"
"11",""
"Female","404"
"Male","406"
"12",""
"Female","629"
"Male","564"
"13",""
"Female","471"
"Male","477"
"14",""
"Female","541"
"Male","493"
"15",""
"Female","499"
"Male","478"
"16",""
"Female","548"
"Male","514"
"17",""
"Female","403"
"Male","417"
"18",""
"Female","555"
"Male","549"
"19",""
"Female","313"
"Male","306"
"2",""
"Female","360"
"Male","385"
"20",""
"Female","569"
"Male","430"
"21",""
"Female","248"
"Male","244"
"22",""
"Female","466"
"Male","407"
"23",""
"Female","329"
"Male","194"
"24",""
"Female","372"
"Male","274"
"25",""
"Female","495"
"Male","384"
"26",""
"Female","373"
"Male","294"
"27",""
"Female","303"
"Male","194"
"28",""
"Female","447"
"Male","332"
"29",""
"Female","187"
"Male","149"
"3",""
"Female","375"
"Male","373"
"30",""
"Female","564"
"Male","456"
"31",""
"Female","127"
"Male","127"
"32",""
"Female","301"
"Male","274"
"33",""
"Female","174"
"Male","118"
"34",""
"Female","165"
"Male","125"
"35",""
"Female","495"
"Male","376"
"36",""
"Female","195"
"Male","168"
"37",""
"Female","129"
"Male","108"
"38",""
"Female","326"
"Male","223"
"39",""
"Female","120"
"Male","92"
"4",""
"Female","394"
"Male","450"
"40",""
"Female","528"
"Male","444"
"41",""
"Female","112"
"Male","100"
"42",""
"Female","173"
"Male","222"
"43",""
"Female","159"
"Male","104"
"44",""
"Female","127"
"Male","96"
"45",""
"Female","354"
"Male","409"
"46",""
"Female","144"
"Male","90"
"47",""
"Female","99"
"Male","96"
"48",""
"Female","198"
"Male","188"
"49",""
"Female","90"
"Male","76"
"5",""
"Female","462"
"Male","511"
"50",""
"Female","282"
"Male","336"
"51",""
"Female","79"
"Male","67"
"52",""
"Female","116"
"Male","135"
"53",""
"Female","94"
"Male","64"
"54",""
"Female","79"
"Male","83"
"55",""
"Female","231"
"Male","276"
"56",""
"Female","100"
"Male","103"
"57",""
"Female","69"
"Male","84"
"58",""
"Female","174"
"Male","130"
"59",""
"Female","63"
"Male","58"
"6",""
"Female","402"
"Male","427"
"60",""
"Female","296"
"Male","262"
"61",""
"Female","60"
"Male","60"
"62",""
"Female","82"
"Male","91"
"63",""
"Female","60"
"Male","51"
"64",""
"Female","40"
"Male","49"
"65",""
"Female","192"
"Male","214"
"66",""
"Female","44"
"Male","47"
"67",""
"Female","33"
"Male","32"
"68",""
"Female","73"
"Male","88"
"69",""
"Female","22"
"Male","24"
"7",""
"Female","439"
"Male","417"
"70",""
"Female","151"
"Male","151"
"71",""
"Female","12"
"Male","28"
"72",""
"Female","45"
"Male","55"
"73",""
"Female","20"
"Male","26"
"74",""
"Female","14"
"Male","18"
"75",""
"Female","93"
"Male","85"
"76",""
"Female","18"
"Male","18"
"77",""
"Female","9"
"Male","19"
"78",""
"Female","30"
"Male","26"
"79",""
"Female","5"
"Male","9"
"8",""
"Female","482"
"Male","535"
"80",""
"Female","62"
"Male","44"
"81",""
"Female","7"
"Male","6"
"82",""
"Female","9"
"Male","8"
"83",""
"Female","8"
"Male","5"
"84",""
"Female","11"
"Male","5"
"85",""
"Female","62"
"Male","77"
"9",""
"Female","345"
"Male","403"
