"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","16"
"Male","26"
"","42"
"Chepang",""
"Female","48"
"Male","32"
"","80"
"Gurung",""
"Female","14"
"Male","6"
"","20"
"Hindi",""
"Female","7"
"Male","14"
"","21"
"Limbu",""
"Female","8"
"Male","5"
"","13"
"Magar",""
"Female","29"
"Male","23"
"","52"
"Maithili",""
"Female","23"
"Male","36"
"","59"
"Nepali",""
"Female","10928"
"Male","10397"
"","21325"
"Newar",""
"Female","67"
"Male","62"
"","129"
"Not Reported",""
"Female","6"
"Male","9"
"","15"
"Others",""
"Female","8"
"Male","9"
"","17"
"Rai",""
"Female","19"
"Male","16"
"","35"
"Tamang",""
"Female","5665"
"Male","5391"
"","11056"
"Urdu",""
"Female","23"
"Male","27"
"","50"
