"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","10459"
"Christianity","622"
"Hindu","21677"
"Islam","137"
"Jainism","0"
"Kirat","15"
"Prakriti","22"
"Sikhism","0"
"Undefined","47"
"Total","32979"
