"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","63"
"Male","62"
"Brahman - Hill",""
"Female","1249"
"Male","1165"
"Chhetri",""
"Female","6033"
"Male","5727"
"Dalit Others",""
"Female","1735"
"Male","1445"
"Damai/Dholi",""
"Female","189"
"Male","218"
"Kami",""
"Female","1553"
"Male","1449"
"Magar",""
"Female","52"
"Male","41"
"Others",""
"Female","13"
"Male","13"
"Sanyasi/Dasnami",""
"Female","21"
"Male","30"
"Sarki",""
"Female","17"
"Male","16"
"Thakuri",""
"Female","256"
"Male","215"
