"Population by Five Years Age Group","Number"
"0-4",""
"Female","1560"
"Male","1553"
"10-14",""
"Female","1563"
"Male","1612"
"15-19",""
"Female","1184"
"Male","995"
"20-24",""
"Female","879"
"Male","673"
"25-29",""
"Female","742"
"Male","657"
"30-34",""
"Female","591"
"Male","443"
"35-39",""
"Female","608"
"Male","543"
"40-44",""
"Female","517"
"Male","437"
"45-49",""
"Female","388"
"Male","422"
"50-54",""
"Female","316"
"Male","276"
"55-59",""
"Female","268"
"Male","272"
"5-9",""
"Female","1721"
"Male","1755"
"60-64",""
"Female","354"
"Male","286"
"65-69",""
"Female","237"
"Male","225"
"70-74",""
"Female","159"
"Male","143"
"75+",""
"Female","94"
"Male","97"
