"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","8"
"Cow Dung","8"
"Electricity","0"
"Kerosene","1"
"LP Gas","1"
"Not stated","31"
"Others","0"
"Wood/Firewood","3746"
"Total","3795"
