"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","96"
"Cow Dung","42"
"Electricity","7"
"Kerosene","45"
"LP Gas","734"
"Not stated","62"
"Others","11"
"Wood/Firewood","10720"
"Total","11717"
