"Population by Five Years Age Group","Number"
"0-4",""
"Female","2989"
"Male","3057"
"10-14",""
"Female","3976"
"Male","4176"
"15-19",""
"Female","3678"
"Male","3079"
"20-24",""
"Female","2880"
"Male","1948"
"25-29",""
"Female","2390"
"Male","1696"
"30-34",""
"Female","1752"
"Male","1340"
"35-39",""
"Female","1638"
"Male","1391"
"40-44",""
"Female","1512"
"Male","1308"
"45-49",""
"Female","1241"
"Male","1216"
"50-54",""
"Female","1011"
"Male","1026"
"55-59",""
"Female","812"
"Male","824"
"5-9",""
"Female","3646"
"Male","3802"
"60-64",""
"Female","745"
"Male","754"
"65-69",""
"Female","546"
"Male","537"
"70-74",""
"Female","327"
"Male","342"
"75+",""
"Female","495"
"Male","411"
