"Population by Five Years Age Group","Number"
"0-4",""
"Female","1394"
"Male","1426"
"10-14",""
"Female","1569"
"Male","1907"
"15-19",""
"Female","1020"
"Male","1311"
"20-24",""
"Female","921"
"Male","986"
"25-29",""
"Female","1022"
"Male","927"
"30-34",""
"Female","877"
"Male","841"
"35-39",""
"Female","814"
"Male","768"
"40-44",""
"Female","655"
"Male","668"
"45-49",""
"Female","535"
"Male","555"
"50-54",""
"Female","442"
"Male","538"
"55-59",""
"Female","429"
"Male","455"
"5-9",""
"Female","1715"
"Male","1814"
"60-64",""
"Female","373"
"Male","443"
"65-69",""
"Female","205"
"Male","292"
"70-74",""
"Female","148"
"Male","190"
"75+",""
"Female","97"
"Male","145"
