"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2055"
"Male","1794"
"Chhetri",""
"Female","4858"
"Male","4169"
"Dalit Others",""
"Female","18"
"Male","22"
"Damai/Dholi",""
"Female","220"
"Male","225"
"Kami",""
"Female","599"
"Male","479"
"Kumal",""
"Female","7"
"Male","7"
"Lohar",""
"Female","82"
"Male","74"
"Newar",""
"Female","29"
"Male","30"
"Others",""
"Female","8"
"Male","2"
"Sanyasi/Dasnami",""
"Female","16"
"Male","20"
"Sarki",""
"Female","903"
"Male","792"
"Thakuri",""
"Female","377"
"Male","280"
