"Number of households by type of outer wall","Number"
"BambooWall","7833"
"Cement Bonded Bricks/Stone Wall","2611"
"Mud Bonded Bricks/Stone Wall","228"
"Not Stated about Wall","56"
"Other Type Wall","52"
"Unbaked Bricks","8"
"Wood/Planks","703"
"Total","11491"
