"Population by Five Years Age Group","Number"
"0-4",""
"Female","92"
"Male","122"
"10-14",""
"Female","203"
"Male","158"
"15-19",""
"Female","179"
"Male","178"
"20-24",""
"Female","152"
"Male","195"
"25-29",""
"Female","139"
"Male","364"
"30-34",""
"Female","101"
"Male","208"
"35-39",""
"Female","105"
"Male","171"
"40-44",""
"Female","95"
"Male","146"
"45-49",""
"Female","72"
"Male","113"
"50-54",""
"Female","80"
"Male","119"
"55-59",""
"Female","56"
"Male","69"
"5-9",""
"Female","127"
"Male","134"
"60-64",""
"Female","55"
"Male","53"
"65-69",""
"Female","51"
"Male","49"
"70-74",""
"Female","42"
"Male","37"
"75+",""
"Female","35"
"Male","36"
