"Number of households by type of outer wall","Number"
"BambooWall","2181"
"Cement Bonded Bricks/Stone Wall","976"
"Mud Bonded Bricks/Stone Wall","2877"
"Not Stated about Wall","48"
"Other Type Wall","453"
"Unbaked Bricks","1419"
"Wood/Planks","2788"
"Total","10742"
