"Population by Single Year of Age","Number"
"0",""
"Female","398"
"Male","382"
"1",""
"Female","309"
"Male","358"
"10",""
"Female","469"
"Male","455"
"11",""
"Female","418"
"Male","433"
"12",""
"Female","466"
"Male","517"
"13",""
"Female","423"
"Male","376"
"14",""
"Female","455"
"Male","414"
"15",""
"Female","438"
"Male","355"
"16",""
"Female","427"
"Male","327"
"17",""
"Female","445"
"Male","309"
"18",""
"Female","410"
"Male","265"
"19",""
"Female","308"
"Male","202"
"2",""
"Female","355"
"Male","376"
"20",""
"Female","342"
"Male","177"
"21",""
"Female","316"
"Male","156"
"22",""
"Female","426"
"Male","167"
"23",""
"Female","302"
"Male","117"
"24",""
"Female","349"
"Male","109"
"25",""
"Female","315"
"Male","145"
"26",""
"Female","240"
"Male","110"
"27",""
"Female","253"
"Male","127"
"28",""
"Female","284"
"Male","112"
"29",""
"Female","198"
"Male","91"
"3",""
"Female","354"
"Male","417"
"30",""
"Female","282"
"Male","136"
"31",""
"Female","189"
"Male","93"
"32",""
"Female","210"
"Male","105"
"33",""
"Female","152"
"Male","81"
"34",""
"Female","179"
"Male","90"
"35",""
"Female","257"
"Male","121"
"36",""
"Female","150"
"Male","87"
"37",""
"Female","177"
"Male","97"
"38",""
"Female","158"
"Male","89"
"39",""
"Female","166"
"Male","73"
"4",""
"Female","412"
"Male","427"
"40",""
"Female","218"
"Male","147"
"41",""
"Female","143"
"Male","86"
"42",""
"Female","176"
"Male","126"
"43",""
"Female","140"
"Male","96"
"44",""
"Female","130"
"Male","104"
"45",""
"Female","196"
"Male","119"
"46",""
"Female","106"
"Male","88"
"47",""
"Female","146"
"Male","119"
"48",""
"Female","144"
"Male","111"
"49",""
"Female","135"
"Male","119"
"5",""
"Female","438"
"Male","442"
"50",""
"Female","178"
"Male","164"
"51",""
"Female","113"
"Male","122"
"52",""
"Female","109"
"Male","113"
"53",""
"Female","121"
"Male","91"
"54",""
"Female","103"
"Male","78"
"55",""
"Female","129"
"Male","133"
"56",""
"Female","132"
"Male","93"
"57",""
"Female","111"
"Male","109"
"58",""
"Female","93"
"Male","87"
"59",""
"Female","101"
"Male","88"
"6",""
"Female","403"
"Male","416"
"60",""
"Female","166"
"Male","118"
"61",""
"Female","77"
"Male","88"
"62",""
"Female","87"
"Male","91"
"63",""
"Female","79"
"Male","74"
"64",""
"Female","83"
"Male","73"
"65",""
"Female","106"
"Male","74"
"66",""
"Female","42"
"Male","54"
"67",""
"Female","80"
"Male","95"
"68",""
"Female","70"
"Male","69"
"69",""
"Female","30"
"Male","59"
"7",""
"Female","466"
"Male","439"
"70",""
"Female","89"
"Male","67"
"71",""
"Female","40"
"Male","47"
"72",""
"Female","51"
"Male","66"
"73",""
"Female","32"
"Male","56"
"74",""
"Female","37"
"Male","29"
"75",""
"Female","47"
"Male","37"
"76",""
"Female","30"
"Male","30"
"77",""
"Female","31"
"Male","28"
"78",""
"Female","30"
"Male","44"
"79",""
"Female","23"
"Male","23"
"8",""
"Female","438"
"Male","446"
"80",""
"Female","30"
"Male","29"
"81",""
"Female","12"
"Male","14"
"82",""
"Female","13"
"Male","14"
"83",""
"Female","17"
"Male","20"
"84",""
"Female","14"
"Male","16"
"85",""
"Female","46"
"Male","47"
"9",""
"Female","452"
"Male","397"
