"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1560"
"Male","1236"
"Chhantyal/Chhantel",""
"Female","219"
"Male","173"
"Chhetri",""
"Female","1975"
"Male","1459"
"Damai/Dholi",""
"Female","727"
"Male","565"
"Gharti/Bhujel",""
"Female","22"
"Male","23"
"Gurung",""
"Female","257"
"Male","224"
"Kami",""
"Female","2746"
"Male","2186"
"Kumal",""
"Female","415"
"Male","330"
"Magar",""
"Female","8650"
"Male","6847"
"Musalman",""
"Female","24"
"Male","23"
"Newar",""
"Female","85"
"Male","72"
"Others",""
"Female","27"
"Male","21"
"Sanyasi/Dasnami",""
"Female","258"
"Male","183"
"Sarki",""
"Female","227"
"Male","165"
"Thakali",""
"Female","43"
"Male","27"
"Thakuri",""
"Female","51"
"Male","40"
"Undefined Others",""
"Female","29"
"Male","17"
