"Population by Five Years Age Group","Number"
"0-4",""
"Female","1828"
"Male","1960"
"10-14",""
"Female","2231"
"Male","2195"
"15-19",""
"Female","2028"
"Male","1458"
"20-24",""
"Female","1735"
"Male","726"
"25-29",""
"Female","1290"
"Male","585"
"30-34",""
"Female","1012"
"Male","505"
"35-39",""
"Female","908"
"Male","467"
"40-44",""
"Female","807"
"Male","559"
"45-49",""
"Female","727"
"Male","556"
"50-54",""
"Female","624"
"Male","568"
"55-59",""
"Female","566"
"Male","510"
"5-9",""
"Female","2197"
"Male","2140"
"60-64",""
"Female","492"
"Male","444"
"65-69",""
"Female","328"
"Male","351"
"70-74",""
"Female","249"
"Male","265"
"75+",""
"Female","293"
"Male","302"
