"Population by Five Years Age Group","Number"
"0-4",""
"Female","998"
"Male","984"
"10-14",""
"Female","1016"
"Male","1074"
"15-19",""
"Female","837"
"Male","712"
"20-24",""
"Female","726"
"Male","470"
"25-29",""
"Female","487"
"Male","300"
"30-34",""
"Female","422"
"Male","263"
"35-39",""
"Female","448"
"Male","268"
"40-44",""
"Female","460"
"Male","355"
"45-49",""
"Female","400"
"Male","315"
"50-54",""
"Female","389"
"Male","357"
"55-59",""
"Female","339"
"Male","305"
"5-9",""
"Female","1136"
"Male","1184"
"60-64",""
"Female","345"
"Male","322"
"65-69",""
"Female","256"
"Male","205"
"70-74",""
"Female","182"
"Male","158"
"75+",""
"Female","159"
"Male","162"
