"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5"
"Cow Dung","6"
"Electricity","0"
"Kerosene","3"
"LP Gas","0"
"Not stated","11"
"Others","2"
"Wood/Firewood","2989"
"Total","3016"
