"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","4005"
"Male","3318"
"Chhetri",""
"Female","1300"
"Male","1092"
"Dalit Others",""
"Female","16"
"Male","17"
"Damai/Dholi",""
"Female","386"
"Male","308"
"Danuwar",""
"Female","24"
"Male","17"
"Gharti/Bhujel",""
"Female","132"
"Male","115"
"Kami",""
"Female","471"
"Male","449"
"Magar",""
"Female","146"
"Male","132"
"Newar",""
"Female","1868"
"Male","1675"
"Others",""
"Female","32"
"Male","34"
"Sanyasi/Dasnami",""
"Female","52"
"Male","49"
"Sarki",""
"Female","473"
"Male","398"
"Sunuwar",""
"Female","28"
"Male","17"
"Tamang",""
"Female","6972"
"Male","5966"
"Terai Others",""
"Female","10"
"Male","17"
