"Number of households by type of outer wall","Number"
"BambooWall","6"
"Cement Bonded Bricks/Stone Wall","249"
"Mud Bonded Bricks/Stone Wall","5843"
"Not stated","47"
"Others","117"
"Unbaked Bricks","303"
"Wood/Planks","19"
"Total","6584"
