"Population by Five Years Age Group","Number"
"0-4",""
"Female","1042"
"Male","1128"
"10-14",""
"Female","1963"
"Male","1866"
"15-19",""
"Female","2007"
"Male","1678"
"20-24",""
"Female","1468"
"Male","1112"
"25-29",""
"Female","1229"
"Male","947"
"30-34",""
"Female","1000"
"Male","780"
"35-39",""
"Female","926"
"Male","755"
"40-44",""
"Female","957"
"Male","704"
"45-49",""
"Female","825"
"Male","728"
"50-54",""
"Female","760"
"Male","705"
"55-59",""
"Female","569"
"Male","593"
"5-9",""
"Female","1501"
"Male","1433"
"60-64",""
"Female","532"
"Male","464"
"65-69",""
"Female","455"
"Male","421"
"70-74",""
"Female","317"
"Male","310"
"75+",""
"Female","391"
"Male","360"
