"Population by Five Years Age Group","Number"
"0-4",""
"Female","1391"
"Male","1344"
"10-14",""
"Female","1422"
"Male","1290"
"15-19",""
"Female","891"
"Male","842"
"20-24",""
"Female","713"
"Male","524"
"25-29",""
"Female","704"
"Male","548"
"30-34",""
"Female","509"
"Male","462"
"35-39",""
"Female","509"
"Male","413"
"40-44",""
"Female","393"
"Male","377"
"45-49",""
"Female","336"
"Male","301"
"50-54",""
"Female","253"
"Male","241"
"55-59",""
"Female","252"
"Male","219"
"5-9",""
"Female","1542"
"Male","1411"
"60-64",""
"Female","286"
"Male","201"
"65-69",""
"Female","220"
"Male","190"
"70-74",""
"Female","192"
"Male","146"
"75+",""
"Female","119"
"Male","122"
