"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","378"
"Male","335"
"Brahman - Hill",""
"Female","402"
"Male","318"
"Chhetri",""
"Female","6073"
"Male","5516"
"Dalit Others",""
"Female","260"
"Male","244"
"Damai/Dholi",""
"Female","270"
"Male","202"
"Kami",""
"Female","1059"
"Male","990"
"Limbu",""
"Female","116"
"Male","78"
"Others",""
"Female","6"
"Male","5"
"Sanyasi/Dasnami",""
"Female","287"
"Male","235"
"Sarki",""
"Female","627"
"Male","520"
"Thakuri",""
"Female","254"
"Male","188"
