"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","3"
"Cow Dung","3281"
"Electricity Fuel","6"
"KeroseneFuel","111"
"LP Gas","104"
"Not Sated about Fuel","61"
"OthersFuel","5"
"Wood/FireWood","3193"
"Total","6764"
