"Number of households by type of outer wall","Number"
"BambooWall","636"
"Cement Bonded Bricks/Stone Wall","81226"
"Mud Bonded Bricks/Stone Wall","40481"
"Not stated","871"
"Others","1502"
"Unbaked Bricks","57"
"Wood/Planks","686"
"Total","125459"
