"Agricultural land use area","Hectare"
"Area under arable land","19199.94"
"Area under meadows and pasture","1015.31"
"Area under permanent crops","907.63"
"Area under Temporary crops","18390.08"
"Area under temporary fallow","614.66"
"Area under temporary meadows","195.20"
"Other land","1137.96"
"Ponds","16.67"
"Woodland and forest","1161.09"
