"Number of households by type of outer wall","Number"
"BambooWall","450"
"Cement Bonded Bricks/Stone Wall","3127"
"Mud Bonded Bricks/Stone Wall","1232"
"Not stated","46"
"Others","687"
"Unbaked Bricks","62"
"Wood/Planks","53"
"Total","5657"
