"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8480"
"Cow Dung","52659"
"Electricity Fuel","83"
"KeroseneFuel","2806"
"LP Gas","49769"
"Not Sated about Fuel","868"
"OthersFuel","3168"
"Wood/FireWood","96037"
"Total","213870"
