"Number of households by type of outer wall","Number"
"BambooWall","118224"
"Cement Bonded Bricks/Stone Wall","64984"
"Mud Bonded Bricks/Stone Wall","6346"
"Not Stated about Wall","1606"
"Other Type Wall","1537"
"Unbaked Bricks","206"
"Wood/Planks","20967"
"Total","213870"
