"Agricultural land use area","Hectare"
"Area under arable land","103861.00"
"Area under meadows and pasture","141.00"
"Area under permanent crops","1222.00"
"Area under Temporary crops","103526.00"
"Area under temporary fallow","287.00"
"Area under temporary meadows","48.00"
"Other land","4250.00"
"Ponds","205.00"
"Woodland and forest","264.00"
"Total","213804.00"
