"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","123159"
"Mud Roof","0"
"Not Sated Roof","1891"
"Other Type of Roof","364"
"RCC Roof","36834"
"Thatch/Straw Roof","45002"
"Tile/Slate Roof","6051"
"Wood/Planks Roof","569"
"Total","213870"
