"Population by Five Years Age Group","Number"
"0-4",""
"Female","393"
"Male","372"
"10-14",""
"Female","673"
"Male","707"
"15-19",""
"Female","648"
"Male","550"
"20-24",""
"Female","450"
"Male","318"
"25-29",""
"Female","408"
"Male","290"
"30-34",""
"Female","352"
"Male","278"
"35-39",""
"Female","352"
"Male","271"
"40-44",""
"Female","266"
"Male","245"
"45-49",""
"Female","251"
"Male","226"
"50-54",""
"Female","212"
"Male","211"
"55-59",""
"Female","140"
"Male","179"
"5-9",""
"Female","557"
"Male","567"
"60-64",""
"Female","139"
"Male","128"
"65-69",""
"Female","106"
"Male","106"
"70-74",""
"Female","66"
"Male","57"
"75+",""
"Female","100"
"Male","91"
