"Population by Caste Ethinicity","Number"
"Bantaba",""
"Female","26"
"Male","23"
"","49"
"Baraee",""
"Female","12"
"Male","12"
"","24"
"Brahman - Hill",""
"Female","1193"
"Male","1039"
"","2232"
"Chamling",""
"Female","8"
"Male","6"
"","14"
"Chhetri",""
"Female","2103"
"Male","1937"
"","4040"
"Dalit Others",""
"Female","14"
"Male","11"
"","25"
"Damai/Dholi",""
"Female","344"
"Male","299"
"","643"
"Danuwar",""
"Female","31"
"Male","31"
"","62"
"Gharti/Bhujel",""
"Female","39"
"Male","34"
"","73"
"Gurung",""
"Female","113"
"Male","110"
"","223"
"Jhangad/ Dhagar",""
"Female","28"
"Male","31"
"","59"
"Kami",""
"Female","856"
"Male","772"
"","1628"
"Khawas",""
"Female","9"
"Male","10"
"","19"
"Kulung",""
"Female","87"
"Male","82"
"","169"
"Kumal",""
"Female","144"
"Male","156"
"","300"
"Limbu",""
"Female","4187"
"Male","3734"
"","7921"
"Magar",""
"Female","1818"
"Male","1670"
"","3488"
"Majhi",""
"Female","42"
"Male","34"
"","76"
"Newar",""
"Female","376"
"Male","357"
"","733"
"Others",""
"Female","69"
"Male","69"
"","138"
"Rai",""
"Female","3542"
"Male","3403"
"","6945"
"Samgpang",""
"Female","19"
"Male","13"
"","32"
"Sanyasi/Dasnami",""
"Female","322"
"Male","284"
"","606"
"Sarki",""
"Female","56"
"Male","38"
"","94"
"Sherpa",""
"Female","68"
"Male","48"
"","116"
"Sunuwar",""
"Female","114"
"Male","93"
"","207"
"Tamang",""
"Female","1298"
"Male","1152"
"","2450"
"Teli",""
"Female","19"
"Male","20"
"","39"
"Terai Others",""
"Female","9"
"Male","5"
"","14"
"Tharu",""
"Female","6"
"Male","6"
"","12"
"Undefined Others",""
"Female","39"
"Male","43"
"","82"
"Yakkha",""
"Female","34"
"Male","29"
"","63"
