"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","38"
"Male","27"
"Brahman - Hill",""
"Female","3257"
"Male","2793"
"Chhetri",""
"Female","3230"
"Male","2678"
"Dalit Others",""
"Female","23"
"Male","19"
"Damai/Dholi",""
"Female","391"
"Male","314"
"Gurung",""
"Female","29"
"Male","22"
"Kami",""
"Female","1182"
"Male","972"
"Lohar",""
"Female","51"
"Male","49"
"Magar",""
"Female","465"
"Male","375"
"Musalman",""
"Female","139"
"Male","131"
"Newar",""
"Female","86"
"Male","75"
"Others",""
"Female","42"
"Male","27"
"Rai",""
"Female","15"
"Male","9"
"Sanyasi/Dasnami",""
"Female","254"
"Male","241"
"Sarki",""
"Female","37"
"Male","26"
"Tamang",""
"Female","22"
"Male","10"
"Terai Others",""
"Female","7"
"Male","6"
"Thakuri",""
"Female","622"
"Male","505"
"Tharu",""
"Female","13577"
"Male","12405"
"Yadav",""
"Female","7"
"Male","5"
"Yakkha",""
"Female","78"
"Male","75"
