"Population by Five Years Age Group","Number"
"0-4",""
"Female","2046"
"Male","2138"
"10-14",""
"Female","3139"
"Male","3355"
"15-19",""
"Female","3141"
"Male","2800"
"20-24",""
"Female","2484"
"Male","1693"
"25-29",""
"Female","2022"
"Male","1795"
"30-34",""
"Female","1666"
"Male","1219"
"35-39",""
"Female","1406"
"Male","1215"
"40-44",""
"Female","1298"
"Male","1086"
"45-49",""
"Female","980"
"Male","965"
"50-54",""
"Female","704"
"Male","706"
"55-59",""
"Female","616"
"Male","591"
"5-9",""
"Female","2521"
"Male","2547"
"60-64",""
"Female","595"
"Male","537"
"65-69",""
"Female","423"
"Male","452"
"70-74",""
"Female","268"
"Male","275"
"75+",""
"Female","244"
"Male","246"
