"Agricultural land use area","Hectare"
"Area under arable land","62196.12"
"Area under meadows and pasture","23.89"
"Area under permanent crops","554.33"
"Area under Temporary crops","62035.10"
"Area under temporary fallow","159.52"
"Area under temporary meadows","1.51"
"Other land","3798.15"
"Ponds","67.21"
"Woodland and forest","18.75"
