"Population by Five Years Age Group","Number"
"0-4",""
"Female","36063"
"Male","38215"
"10-14",""
"Female","52756"
"Male","55706"
"15-19",""
"Female","48612"
"Male","45078"
"20-24",""
"Female","42258"
"Male","34146"
"25-29",""
"Female","34885"
"Male","31283"
"30-34",""
"Female","27584"
"Male","23248"
"35-39",""
"Female","24436"
"Male","21940"
"40-44",""
"Female","19653"
"Male","17540"
"45-49",""
"Female","15316"
"Male","15169"
"50-54",""
"Female","11756"
"Male","11321"
"55-59",""
"Female","10011"
"Male","9797"
"5-9",""
"Female","46419"
"Male","49268"
"60-64",""
"Female","10885"
"Male","9312"
"65-69",""
"Female","6948"
"Male","7010"
"70-74",""
"Female","5016"
"Male","4823"
"75+",""
"Female","4694"
"Male","4561"
