"Population by Single Year of Age","Number"
"0",""
"Female","6288"
"Male","6746"
"1",""
"Female","5807"
"Male","6130"
"10",""
"Female","11165"
"Male","12182"
"11",""
"Female","8804"
"Male","9400"
"12",""
"Female","11821"
"Male","13133"
"13",""
"Female","10031"
"Male","10285"
"14",""
"Female","10935"
"Male","10706"
"15",""
"Female","10057"
"Male","9974"
"16",""
"Female","10887"
"Male","10166"
"17",""
"Female","8746"
"Male","7956"
"18",""
"Female","11936"
"Male","11062"
"19",""
"Female","6986"
"Male","5920"
"2",""
"Female","7309"
"Male","7845"
"20",""
"Female","11562"
"Male","8896"
"21",""
"Female","6801"
"Male","5544"
"22",""
"Female","9674"
"Male","7968"
"23",""
"Female","6837"
"Male","5680"
"24",""
"Female","7384"
"Male","6058"
"25",""
"Female","10419"
"Male","8878"
"26",""
"Female","6828"
"Male","5944"
"27",""
"Female","5752"
"Male","5381"
"28",""
"Female","8394"
"Male","7648"
"29",""
"Female","3492"
"Male","3432"
"3",""
"Female","8145"
"Male","8292"
"30",""
"Female","11245"
"Male","8816"
"31",""
"Female","2841"
"Male","2784"
"32",""
"Female","6020"
"Male","5517"
"33",""
"Female","3692"
"Male","3055"
"34",""
"Female","3786"
"Male","3076"
"35",""
"Female","10741"
"Male","9576"
"36",""
"Female","3736"
"Male","3640"
"37",""
"Female","2663"
"Male","2481"
"38",""
"Female","5089"
"Male","4236"
"39",""
"Female","2207"
"Male","2007"
"4",""
"Female","8514"
"Male","9202"
"40",""
"Female","9600"
"Male","8493"
"41",""
"Female","2073"
"Male","2065"
"42",""
"Female","3421"
"Male","3416"
"43",""
"Female","2507"
"Male","1895"
"44",""
"Female","2052"
"Male","1671"
"45",""
"Female","7133"
"Male","7261"
"46",""
"Female","2128"
"Male","2083"
"47",""
"Female","1614"
"Male","1678"
"48",""
"Female","3139"
"Male","2887"
"49",""
"Female","1302"
"Male","1260"
"5",""
"Female","9469"
"Male","10009"
"50",""
"Female","6005"
"Male","5486"
"51",""
"Female","1249"
"Male","1437"
"52",""
"Female","1962"
"Male","2118"
"53",""
"Female","1271"
"Male","1210"
"54",""
"Female","1269"
"Male","1070"
"55",""
"Female","4276"
"Male","4238"
"56",""
"Female","1476"
"Male","1562"
"57",""
"Female","1118"
"Male","1172"
"58",""
"Female","2076"
"Male","1784"
"59",""
"Female","1065"
"Male","1041"
"6",""
"Female","9177"
"Male","9696"
"60",""
"Female","6113"
"Male","5105"
"61",""
"Female","1194"
"Male","1111"
"62",""
"Female","1514"
"Male","1341"
"63",""
"Female","1104"
"Male","904"
"64",""
"Female","960"
"Male","851"
"65",""
"Female","3903"
"Male","3346"
"66",""
"Female","737"
"Male","866"
"67",""
"Female","669"
"Male","811"
"68",""
"Female","1150"
"Male","1358"
"69",""
"Female","489"
"Male","629"
"7",""
"Female","9449"
"Male","9679"
"70",""
"Female","3127"
"Male","2679"
"71",""
"Female","472"
"Male","555"
"72",""
"Female","773"
"Male","787"
"73",""
"Female","356"
"Male","463"
"74",""
"Female","288"
"Male","339"
"75",""
"Female","1364"
"Male","1223"
"76",""
"Female","290"
"Male","340"
"77",""
"Female","227"
"Male","297"
"78",""
"Female","348"
"Male","474"
"79",""
"Female","164"
"Male","168"
"8",""
"Female","9877"
"Male","11170"
"80",""
"Female","971"
"Male","768"
"81",""
"Female","122"
"Male","148"
"82",""
"Female","173"
"Male","185"
"83",""
"Female","107"
"Male","135"
"84",""
"Female","120"
"Male","114"
"85",""
"Female","808"
"Male","709"
"9",""
"Female","8447"
"Male","8714"
