"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8"
"Cow Dung","18"
"Electricity Fuel","1"
"KeroseneFuel","31"
"LP Gas","91"
"Not Sated about Fuel","20"
"OthersFuel","88"
"Wood/FireWood","6347"
"Total","6604"
