"Population by Caste Ethinicity","Number"
"Badi",""
"Female","198"
"Male","160"
"","358"
"Bangali",""
"Female","28"
"Male","32"
"","60"
"Brahman - Hill",""
"Female","2663"
"Male","2383"
"","5046"
"Chhetri",""
"Female","8411"
"Male","7123"
"","15534"
"Dalit Others",""
"Female","3048"
"Male","2444"
"","5492"
"Damai/Dholi",""
"Female","657"
"Male","515"
"","1172"
"Gurung",""
"Female","8"
"Male","4"
"","12"
"Kami",""
"Female","1775"
"Male","1439"
"","3214"
"Kurmi",""
"Female","10"
"Male","12"
"","22"
"Lohar",""
"Female","85"
"Male","74"
"","159"
"Magar",""
"Female","16"
"Male","30"
"","46"
"Musalman",""
"Female","17"
"Male","38"
"","55"
"Others",""
"Female","37"
"Male","28"
"","65"
"Sanyasi/Dasnami",""
"Female","179"
"Male","137"
"","316"
"Sarki",""
"Female","134"
"Male","109"
"","243"
"Tamang",""
"Female","92"
"Male","70"
"","162"
"Teli",""
"Female","10"
"Male","9"
"","19"
"Terai Others",""
"Female","22"
"Male","21"
"","43"
"Thakuri",""
"Female","225"
"Male","211"
"","436"
"Tharu",""
"Female","16"
"Male","37"
"","53"
