"Population by Five Years Age Group","Number"
"0-4",""
"Female","778"
"Male","887"
"10-14",""
"Female","1301"
"Male","1284"
"15-19",""
"Female","1143"
"Male","923"
"20-24",""
"Female","880"
"Male","462"
"25-29",""
"Female","720"
"Male","399"
"30-34",""
"Female","571"
"Male","359"
"35-39",""
"Female","523"
"Male","375"
"40-44",""
"Female","443"
"Male","403"
"45-49",""
"Female","353"
"Male","347"
"50-54",""
"Female","301"
"Male","327"
"55-59",""
"Female","282"
"Male","260"
"5-9",""
"Female","1046"
"Male","1167"
"60-64",""
"Female","257"
"Male","237"
"65-69",""
"Female","154"
"Male","153"
"70-74",""
"Female","79"
"Male","91"
"75+",""
"Female","67"
"Male","75"
