"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","19"
"Male","15"
"Brahman - Hill",""
"Female","93"
"Male","116"
"Chhetri",""
"Female","4873"
"Male","4223"
"Damai/Dholi",""
"Female","178"
"Male","152"
"Kami",""
"Female","691"
"Male","605"
"Magar",""
"Female","2375"
"Male","2060"
"Musalman",""
"Female","42"
"Male","19"
"Newar",""
"Female","78"
"Male","66"
"Others",""
"Female","6"
"Male","8"
"Sanyasi/Dasnami",""
"Female","308"
"Male","248"
"Sarki",""
"Female","185"
"Male","162"
"Thakuri",""
"Female","46"
"Male","45"
"Tharu",""
"Female","4"
"Male","7"
