"Population by Five Years Age Group","Number"
"0-4",""
"Female","7998"
"Male","8025"
"10-14",""
"Female","15480"
"Male","14763"
"15-19",""
"Female","13951"
"Male","11327"
"20-24",""
"Female","9012"
"Male","5978"
"25-29",""
"Female","6999"
"Male","4761"
"30-34",""
"Female","5711"
"Male","4115"
"35-39",""
"Female","6132"
"Male","4378"
"40-44",""
"Female","6016"
"Male","4807"
"45-49",""
"Female","5291"
"Male","4521"
"50-54",""
"Female","4844"
"Male","4563"
"55-59",""
"Female","3704"
"Male","3638"
"5-9",""
"Female","11436"
"Male","11615"
"60-64",""
"Female","3903"
"Male","3299"
"65-69",""
"Female","2874"
"Male","2662"
"70-74",""
"Female","2576"
"Male","2135"
"75+",""
"Female","3333"
"Male","2799"
