"Number of households by type of outer wall","Number"
"BambooWall","158"
"Cement Bonded Bricks/Stone Wall","1389"
"Mud Bonded Bricks/Stone Wall","41483"
"Not stated","527"
"Others","28"
"Unbaked Bricks","36"
"Wood/Planks","262"
"Total","43883"
