"Agricultural land use area","Hectare"
"Area under arable land","25522.41"
"Area under meadows and pasture","836.37"
"Area under permanent crops","1536.21"
"Area under Temporary crops","24727.99"
"Area under temporary fallow","624.00"
"Area under temporary meadows","170.43"
"Other land","1307.68"
"Ponds","0.17"
"Woodland and forest","1169.53"
